"IMG_ANL_ITEM_CD","REVISION_NO","IMG_ANL_ITEM_NM","USING_TOOL","USING_MODEL","CATEGORY","DEF_NG_TYPE_CD","LINE_CD","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG","STREAM","EXPECT_RESULT","STATION"
"0000000001",0,"型式ラベル","1","利用モデル1","改定番号0","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","1",,"212302"
"0000000001",1,"型式ラベルNEW","1","利用モデル1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000000002",0,"クボタラベル","1","利用モデル1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000000002",1,"クボタラベル","1","利用モデル1",,,"002120",2023/09/04 13:40:08,"807011","AnlItemInput",2023/09/04 13:40:08,"807011","AnlItemInput","3",,"212302"
"0000000002",2,"クボタラベル","1","利用モデル11",,,"002120",2023/09/20 9:49:10,"807011","AnlItemInput",2023/09/20 9:49:10,"807011","AnlItemInput","3",,"212302"
"0000000003",0,"ロアリンク","1","利用モデル1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000000003",1,"ロアリンク","1",,,,"002120",2023/09/04 13:36:20,"807011","AnlItemInput",2023/09/04 13:36:20,"807011","AnlItemInput",,,"212302"
"0000000003",2,"ロアリンク","2","1",,,"002120",2023/09/12 9:48:23,"807011","AnlItemInput",2023/09/12 9:48:23,"807011","AnlItemInput","1","1","212302"
"0000000004",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000005",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000006",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000007",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000008",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000009",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000010",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000011",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000012",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000013",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000014",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000015",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000016",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000017",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000018",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000019",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000020",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000001001",0,"型式ラベルNEW","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001001",1,"画像解析項目2","1","テストモデル",,,"002120",2023/09/05 10:21:27,"807011","AnlItemInput",2023/09/05 10:21:27,"807011","AnlItemInput",,,"212302"
"0000001002",0,"クボタラベル","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001002",1,"クボタラベル","1",,,,"002120",2023/09/04 13:40:38,"807011","AnlItemInput",2023/09/04 13:40:38,"807011","AnlItemInput",,,"212302"
"0000001003",0,"ロアリンク1","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001003",1,"ロアリンク1003","2","234",,,"002120",2023/08/18 18:26:14,"807011","AnlItemInput",2023/08/18 18:26:14,"807011","AnlItemInput","123","345","212302"
"0000001003",2,"ロアリンク1003","1","234",,,"002120",2023/08/18 18:27:56,"807011","AnlItemInput",2023/08/18 18:27:56,"807011","AnlItemInput","123","345","212302"
"0000001003",3,"ロアリンク1003","1","234",,,"002120",2023/08/18 18:28:20,"807011","AnlItemInput",2023/08/18 18:28:20,"807011","AnlItemInput","333","345","212302"
"0000001003",4,"ロアリンク1003","1",,,,"002120",2023/08/21 14:23:12,"807011","AnlItemInput",2023/08/21 14:23:12,"807011","AnlItemInput",,,"212302"
"0000001003",5,"ロアリンク1003","2","234",,,"002120",2023/08/21 14:23:31,"807011","AnlItemInput",2023/08/21 14:23:31,"807011","AnlItemInput","123","345","212302"
"0000001003",6,"1234567890","2","1234567890123456789012345678901234567890",,,"002120",2023/08/21 14:25:40,"807011","AnlItemInput",2023/08/21 14:25:40,"807011","AnlItemInput","1234567890123456789012345678901234567890","1234567890123456789012345678901234567890","212302"
"0000001004",0,"ロアリンク2","2","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001004",1,"ロアリンク2","1","1",,,"002120",2023/08/26 7:51:43,"807011","AnlItemInput",2023/08/26 7:51:43,"807011","AnlItemInput","2",,"212302"
"0000001005",0,"ロアリンク3","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001006",0,"ロアリンク4","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001007",0,"ロアリンク5","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001008",0,"ロアリンク6","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001009",0,"ロアリンク7","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001010",0,"ロアリンク8","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001011",0,"ロアリンク9","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001012",0,"ロアリンク10","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001013",0,"ロアリンク11","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001014",0,"ロアリンク12","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001015",0,"ロアリンク13","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001016",0,"ロアリンク14","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001016",1,"ロアリンク14","1","1",,,"002120",2023/09/04 11:14:15,"807011","AnlItemInput",2023/09/04 11:14:15,"807011","AnlItemInput","2",,"212302"
"0000001017",0,"ロアリンク15","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001018",0,"ロアリンク16","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001019",0,"ロアリンク17","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001020",0,"ロアリンク18","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001021",0,"ロアリンク19","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001022",0,"ロアリンク20","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001023",0,"ロアリンク21","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001024",0,"ロアリンク22","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001025",0,"ロアリンク23","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001026",0,"ロアリンク24","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001027",0,"ロアリンク25","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001203",0,"テスト項目1203","1",,,,"002120",2023/08/18 18:24:24,"807011","AnlItemInput",2023/08/18 18:24:24,"807011","AnlItemInput",,,"212302"
"0000001204",0,"テスト項目","2","123",,,"002120",2023/08/21 14:26:30,"807011","AnlItemInput",2023/08/21 14:26:30,"807011","AnlItemInput","123","123","212302"
"0000001205",0,"sfw","1",,,,"002120",2023/08/21 16:37:54,"807011","AnlItemInput",2023/08/21 16:37:54,"807011","AnlItemInput",,,"212302"
"0000001206",0,"テスト項目","1",,,,"002120",2023/09/04 11:03:34,"807011","AnlItemInput",2023/09/04 11:03:34,"807011","AnlItemInput",,,"212302"
"0000001206",1,"テスト項目","2","2",,,"002120",2023/09/04 11:09:54,"807011","AnlItemInput",2023/09/04 11:09:54,"807011","AnlItemInput","1","3","212302"
"0000001206",2,"テスト項目","2","2",,,"002120",2023/09/04 11:10:24,"807011","AnlItemInput",2023/09/04 11:10:24,"807011","AnlItemInput","1","3","212302"
"0000001206",3,"テスト項目","2","2",,,"002120",2023/09/04 11:10:39,"807011","AnlItemInput",2023/09/04 11:10:39,"807011","AnlItemInput","1","3","212302"
"0000001206",4,"テスト項目","1",,,,"002120",2023/09/04 11:14:38,"807011","AnlItemInput",2023/09/04 11:14:38,"807011","AnlItemInput",,,"212302"
"0000001206",5,"テスト項目","2","2",,,"002120",2023/09/04 11:23:58,"807011","AnlItemInput",2023/09/04 11:23:58,"807011","AnlItemInput","1","3","212302"
"0000001206",6,"テスト項目","1",,,,"002120",2023/09/04 11:26:18,"807011","AnlItemInput",2023/09/04 11:26:18,"807011","AnlItemInput",,,"212302"
"0000001206",7,"テスト項目","2","2",,,"002120",2023/09/04 11:26:33,"807011","AnlItemInput",2023/09/04 11:26:33,"807011","AnlItemInput","1","3","212302"
"0000001206",8,"テスト項目","2","2",,,"002120",2023/09/04 11:32:54,"807011","AnlItemInput",2023/09/04 11:32:54,"807011","AnlItemInput","1","3","212302"
"0000001206",9,"テスト項目","2","2",,,"002120",2023/09/04 11:33:02,"807011","AnlItemInput",2023/09/04 11:33:02,"807011","AnlItemInput","1","3","212302"
"0000001206",10,"テスト項目","2","2",,,"002120",2023/09/04 11:36:01,"807011","AnlItemInput",2023/09/04 11:36:01,"807011","AnlItemInput","1","3","212302"
"0000001206",11,"テスト項目","2","2",,,"002120",2023/09/04 11:37:40,"807011","AnlItemInput",2023/09/04 11:37:40,"807011","AnlItemInput","1","3","212302"
"0000001206",12,"テスト項目","2","2",,,"002120",2023/09/04 11:41:34,"807011","AnlItemInput",2023/09/04 11:41:34,"807011","AnlItemInput","1","3","212302"
"0000001206",13,"テスト項目","2","2",,,"002120",2023/09/04 12:36:46,"807011","AnlItemInput",2023/09/04 12:36:46,"807011","AnlItemInput","1","3","212302"
"0000001206",14,"テスト項目","1",,,,"002120",2023/09/04 13:07:58,"807011","AnlItemInput",2023/09/04 13:07:58,"807011","AnlItemInput",,,"212302"
"0000001206",15,"テスト項目","1","2",,,"002120",2023/09/19 10:46:15,"807011","AnlItemInput",2023/09/19 10:46:15,"807011","AnlItemInput",,,"212302"
"0000001207",0,"画像解析項目1","2","モデル1",,,"002120",2023/09/05 9:35:03,"807011","AnlItemInput",2023/09/05 9:35:03,"807011","AnlItemInput","123","234","212302"
"0000001207",1,"画像解析項目1","1",,,,"002120",2023/09/05 9:43:25,"807011","AnlItemInput",2023/09/05 9:43:25,"807011","AnlItemInput",,,"212302"
"0000001207",2,"画像解析項目1","1",,,,"002120",2023/09/05 9:55:02,"807011","AnlItemInput",2023/09/05 9:55:02,"807011","AnlItemInput",,,"212302"
"0000001209",0,"画像解析項目2","2","234",,,"002120",2023/09/05 10:19:35,"807011","AnlItemInput",2023/09/05 10:19:35,"807011","AnlItemInput","123","345","212302"
"0000001209",1,"画像解析項目2","1","テストモデル",,,"002120",2023/09/05 10:21:27,"807011","AnlItemInput",2023/09/05 10:21:27,"807011","AnlItemInput",,,"212302"
"0000001210",0,"画像解析項目1","1",,,,"002120",2023/09/06 16:27:57,"807011","AnlItemInput",2023/09/06 16:27:57,"807011","AnlItemInput",,,"212302"
"0000001211",0,"test1","1","1",,,"002120",2023/09/12 9:49:06,"807011","AnlItemInput",2023/09/12 9:49:06,"807011","AnlItemInput",,,"212302"
"0000001212",0,"test2","1","1",,,"002120",2023/09/12 10:24:51,"807011","AnlItemInput",2023/09/12 10:24:51,"807011","AnlItemInput",,,"212302"
"0000001213",0,"555","1","88",,,"002120",2023/09/20 9:49:27,"807011","AnlItemInput",2023/09/20 9:49:27,"807011","AnlItemInput",,,"212302"
